F-volt,V-volt,P-volt,Force-N
0.039100684261974585,2.5073313782991202,4.652981427174975,9.852216748768473e-06
0.4838709677419355,4.848484848484849,4.9071358748778104,0.00013392857142857144
0.5131964809384164,3.714565004887586,4.794721407624634,0.0001429738562091503
0.42521994134897356,2.355816226783969,4.682306940371456,0.00011618589743589743
0.16617790811339198,1.0019550342130987,4.6383186705767345,4.2972699696663295e-05
0.02932551319648094,0.6011730205278593,4.643206256109481,7.374631268436577e-06
0.024437927663734114,0.44965786901270777,4.623655913978494,6.139489194499017e-06
0.03421309872922776,0.4056695992179863,4.560117302052785,8.612204724409447e-06
0.024437927663734114,0.16129032258064516,4.594330400782013,6.139489194499017e-06
0.019550342130987292,0.16617790811339198,4.560117302052785,4.906771344455348e-06
0.03421309872922776,0.0,4.59921798631476,8.612204724409447e-06
0.03421309872922776,0.0,4.574780058651026,8.612204724409447e-06
3.3431085043988267,4.090909090909091,4.203323558162268,0.0025221238938053095
3.8807429130009776,4.457478005865102,4.237536656891495,0.004334061135371181
0.7135874877810362,0.3616813294232649,3.9393939393939394,0.00020809578107183584
0.004887585532746823,0.04887585532746823,3.9589442815249267,1.223091976516634e-06
3.9393939393939394,4.897360703812317,4.237536656891495,0.004642857142857143
3.978494623655914,4.662756598240469,4.232649071358749,0.004868421052631579
3.9980449657869013,4.496578690127077,4.227761485826002,0.004987804878048781
0.386119257086999,0.3225806451612903,3.9931573802541545,0.00010460805084745763
0.09775171065493646,0.05376344086021506,4.007820136852395,2.4925224327018942e-05
4.066471163245357,4.511241446725317,4.247311827956989,0.005445026178010471
4.105571847507331,4.452590420332355,4.247311827956989,0.005737704918032783
4.115347018572825,4.178885630498534,4.247311827956989,0.00581491712707182
0.6549364613880743,0.23460410557184752,3.949169110459433,0.00018841394825646794
0.20527859237536655,0.07331378299120235,3.9442815249266863,5.3516819571865445e-05
3.8856304985337244,4.819159335288368,4.227761485826002,0.004358552631578948
4.144672531769306,4.89247311827957,4.237536656891495,0.006057142857142859
4.1544477028347995,4.7165200391006845,4.242424242424242,0.006141618497109823
0.6940371456500488,0.5620723362658846,4.032258064516129,0.00020147559591373438
0.23460410557184752,0.4789833822091887,3.9442815249266863,6.153846153846155e-05
4.007820136852395,5.0,4.227761485826002,0.005049261083743844
4.178885630498534,5.0,4.237536656891495,0.006361607142857143
4.193548387096774,4.858260019550342,4.242424242424242,0.006499999999999996
1.1241446725317692,0.718475073313783,4.027370478983382,0.000362547288776797
